"State","Lockdown_Start","Lockdown_End"
"Alabama","43925","43951"
"Alaska","43918","43945"
"Arizona","43921","43966"
"Arkansas","None","None"
"California","43909","44071"
"Colorado","43916","43947"
"Connecticut","43913","43971"
"Delaware","43914","43982"
"Florida","43923","43955"
"Georgia","43924","43951"
"Hawaii","43915","43982"
"Idaho","43915","43951"
"Illinois","43911","43980"
"Indiana","43914","43952"
"Iowa","None","None"
"Kansas","43920","43954"
"Kentucky","43916","44011"
"Louisiana","43913","43966"
"Maine","43923","43982"
"Maryland","43920","43966"
"Massachusetts","43914","43969"
"Michigan","43914","43983"
"Minnesota","43917","43968"
"Mississippi","43924","43948"
"Missouri","43927","43954"
"Montana","43918","43947"
"Nebraska","None","None"
"Nevada","43922","43966"
"New Hampshire","43917","43997"
"New Jersey","43911","43991"
"New Mexico","43914","44165"
"New York","43910","44009"
"North Carolina","43920","43973"
"North Dakota","None","None"
"Ohio","43913","43970"
"Oklahoma","43922","43957"
"Oregon","43913","44001"
"Pennsylvania","43922","43986"
"Rhode Island","43918","43959"
"South Carolina","43928","43955"
"South Dakota","None","None"
"Tennessee","43921","43951"
"Texas","43923","43951"
"Utah","None","None"
"Vermont","43914","43966"
"Virginia","43920","43980"
"Washington","43914","43955"
"West Virginia","43914","43955"
"Wisconsin","43915","43964"
"Wyoming","None","None"
